1;VENTAS              ;1061
2;MANT OFICINAS       ;835
3;AUX  DE AMINISTRACIO;323
4;SISTEMAS            ;839
5;MANT CAPILLAS       ;926
6;GUARDIA             ;916
7;ALMACEN             ;665
8;DIRECTOR DE FUNERARI;655
9;AUX RH Y NOMINAS    ;944
10;VENTAS              ;1053
11;MANT CAPILLAS       ;834
12;RECEPCION           ;721
13;EMBALSAMADOR        ;243
14;RECEPCION           ;335
15;ALBA¾IL             ;976
16;DIRECTOR DE FUNERARI;627
17;DIRECTOR DE FUNERARI;248
18;AUXILIAR DE DISE¾O G;10028
19;OFICIAL ALBA¾IL     ;982
20;GUARDIA             ;1019
21;DIRECTOR DE FUNERARI;605
22;AUX DIRECTOR        ;357
23;DIRECTOR DE FUNERARI;344
24;MANT CAPILLAS       ;1030
25;VENTAS              ;1001
26;ALBA¾IL             ;1042
27;MANT CAPILLAS       ;1048
28;AUXILIAR            ;284
29;CUENTAS POR COBRAR  ;934
30;JARDINERO           ;882
31;AUXILIAR            ;961
32;AUXILIAR            ;664
33;CUENTAS POR COBRAR  ;307
34;AUXILIAR CONTABLE   ;353
35;DIRECTOR DE FUNERARI;687
36;ALBA¾IL             ;988
37;DIRECTOR DE FUNERARI;492
38;SISTEMAS            ;253
39;RECEPCION           ;320
40;AUX DE EMBALSAMADOR ;327
41;AUXILIAR            ;352
42;CORDINADOR DE SISTEM;199
43;MANT CAPILLAS       ;861
44;AUXILIAR DE DISE¾O G;295
45;ENCARGADO DE CAPILLA;314
46;AUX RH Y NOMINAS    ;321
47;AUXILIAR DE MERCADOT;289
48;ASESOR TELEFONICO   ;1013
49;AUX DIRECTOR        ;832
50;DIRECTOR DE FUNERARI;278
51;EMBALSAMADOR        ;175
52;AUXILIAR            ;969
53;CHOFER DE CAPILLA   ;1058
54;VENTAS              ;1016
55;OFICIAL ALBA¾IL     ;992
56;AUXILIAR            ;290
57;JARDINERO           ;1060
58;GUARDIA             ;946
59;VENTAS              ;1049
60;MANT CAPILLAS       ;713
61;DIRECTOR DE FUNERARI;662
62;JARDINERO           ;699
63;GUARDIA             ;1035
64;GUARDIA             ;821
65;DIRECTOR DE FUNERARI;208
66;ASESOR TELEFONICO   ;1024
67;MANT CAPILLAS       ;873
68;DIRECTOR DE FUNERARI;650
69;JEFE DE MANTENIMIENT;590
70;GUARDIA             ;1037
71;DIRECTOR DE FUNERARI;351
72;EMBALSAMADOR        ;192
73;ASESOR TELEFONICO   ;1022
74;AUXILIAR            ;200
75;MANT CAPILLAS       ;962
76;AUXILIAR            ;315
77;RECEPCION           ;337
78;MANT CAPILLAS       ;1054
79;CORDINADOR DE COMPRA;154
80;GUARDIA             ;922
81;CORDINADOR DE SEGURI;209
82;GUARDIA             ;805
83;MANT CAPILLAS       ;538
84;GUARDIA             ;739
85;CHOFER              ;974
86;MANT CAPILLAS       ;1007
87;DIRECTOR DE FUNERARI;333
88;JARDINERO           ;167
89;AUX DISENO Y PUBLICI;332
90;CHOFER DE CAPILLA   ;1031
91;VENTAS              ;1050
92;GUARDIA             ;967
93;EMBALSAMADOR        ;316
94;MENSAJERO           ;115
95;JARDINERO           ;951
96;ALBA¾IL             ;990
97;AUX DISENO Y PUBLICI;345
98;VENTAS              ;837
99;MENSAJERO           ;949
100;COORDINADOR DE LOGIS;325
101;ALBA¾IL             ;993
102;ALBA¾IL             ;977
103;VENTAS              ;963
104;AUXILIAR CONTABLE   ;355
105;MANT CAPILLAS       ;1005
106;DIRECTOR DE FUNERARI;875
107;JARDINERO           ;618
108;EMBALSAMADOR        ;267
109;OFICIAL ALBA¾IL     ;986
110;REPRE DE VENTAS     ;1017
111;MANT CAPILLAS       ;877
112;GUARDIA             ;1002
113;ALBA¾IL             ;998
114;JARDINERO           ;562
115;ALBA¾IL             ;994
116;OFICIAL ALBA¾IL     ;983
117;CREMADOR            ;692
118;CORDINADOR DE VENTAS;217
119;CHOFER              ;1040
120;JARDINERO           ;943
121;DIRECTOR DE FUNERARI;651
122;GUARDIA             ;1045
123;RECEPCION           ;937
124;SUPERVISOR DE TELEMA;313
125;OFICIAL ALBA¾IL     ;987
126;VENTAS              ;915
127;AUX ELECTRICO       ;968
128;JARDINERO           ;866
129;MANT CAPILLAS       ;759
130;AUX DIRECTOR        ;633
131;RECEPCION           ;347
132;CUENTAS POR COBRAR  ;322
133;AUX DE EMBALSAMADOR ;328
134;MANT CAPILLAS       ;833
135;EMBALSAMADOR        ;317
136;GUARDIA             ;1033
137;AUXILIAR            ;291
138;AUXILIAR DE DISE¾O G;247
139;AUX DIRECTOR        ;338
140;GUARDIA             ;788
141;JARDINERO           ;666
142;MANT CAPILLAS       ;1055
143;RECEPCION           ;929
144;DIRECTOR DE FUNERARI;663
145;DIRECTOR DE FUNERARI;707
146;MANT CAPILLAS       ;1046
147;DIRECTOR DE FUNERARI;299
148;RECEPCION           ;348
149;MANT CAPILLAS       ;1009
150;MANT CAPILLAS       ;1047
151;MANT CAPILLAS       ;1056
152;AUX ELECTRICO       ;942
153;AUXILIAR            ;294
154;VENTAS              ;769
155;MANT CAPILLAS       ;1008
156;JARDINERO           ;604
157;ALBA¾IL             ;997
158;GUARDIA             ;1062
159;GUARDIA             ;847
160;VENTAS              ;768
161;DIRECTOR DE FUNERARI;820
162;DIRECTOR DE FUNERARI;674
163;GUARDIA             ;749
164;GUARDIA             ;971
165;GUARDIA             ;1036
166;JARDINERO           ;923
167;CUENTAS POR COBRAR  ;305
168;AUXILIAR DE DISE¾O G;341
169;VENTAS              ;898
170;JARDINERO           ;639
171;RECEPCION           ;356
172;CUENTAS POR COBRAR  ;254
173;RECEPCION DE VENTAS ;257
174;SISTEMAS            ;306
175;DIRECTOR DE FUNERARI;207
176;GUARDIA             ;1032
177;AUX DE PROYECTOS    ;331
178;GUARDIA             ;919
179;RECEPCION           ;304
180;JEFE DE MANTENIMIENT;588
181;MANT CAPILLAS       ;1051
182;ALBA¾IL             ;981
183;JARDINERO           ;220
184;DIRECTOR DE FUNERARI;482
185;RECEPCION           ;334
186;GUARDIA             ;973
187;OFICIAL ALBA¾IL     ;984
188;MANT CAPILLAS       ;1059
189;LOGISTICA           ;726
190;SISTEMAS            ;343
191;GUARDIA             ;954
192;GUARDIA             ;856
193;ELECTRICISTA        ;616
194;MENSAJERO           ;224
195;JARDINERO           ;680
196;ASESOR TELEFONICO   ;1023
197;GUARDIA             ;1010
198;RH NOMINAS          ;286
199;EMBALSAMADOR        ;250
200;MANT CAPILLAS       ;683
201;CORDINADORA DE CAPIL;246
202;RECEPCION           ;265
203;JARDINERO           ;466
204;GUARDIA             ;887
205;AUXILIAR DE DISE¾O G;293
206;VENTAS              ;1026
207;AUXILIAR CONTABLE   ;346
208;MANT CAPILLAS       ;1052
209;DIRECTOR DE FUNERARI;872
210;AUX  DE AMINISTRACIO;213
211;CUENTAS POR COBRAR  ;260
212;ALBA¾IL             ;979
213;ALBA¾IL             ;980
214;JARDINERO           ;659
215;RECEPCION           ;354
216;ALBA¾IL             ;991
217;AUXILIAR            ;1015
218;DIRECTOR DE FUNERARI;201
219;GUARDIA             ;790
220;JARDINERO           ;888
221;VENTAS              ;1034
222;OFICIAL ALBA¾IL     ;985
223;OFICIAL ALBA¾IL     ;840
224;MANT CAPILLAS       ;958
225;DIRECTOR DE FUNERARI;228
226;RESPONSABLE DE PUBLI;226
227;VENTAS              ;1014
228;VENTAS              ;1000
229;AUDITORIA Y ARCHIVO ;319
230;RECEPCION           ;191
231;GUARDIA             ;858
232;CORDINADORA  DE VENT;211
