1;VENTAS              ;1061
2;MANTENIMIENTO       ;835
3;CAPILLA SAN PEDRO   ;323
4;SISTEMAS            ;839
5;CAPILLA SAN PEDRO   ;926
6;SEGURIDAD           ;916
7;COMPRAS             ;665
8;CAPILLAS GUADALUPE  ;655
9;RH NOMINAS          ;944
10;VENTAS              ;1053
11;CAPILLA SAN PEDRO   ;834
12;ADMINISTRACION      ;721
13;LABORATORIO EMBALSAM;243
14;CAPILLA SAN PEDRO   ;335
15;CONSTRUCCION        ;976
16;CAPILLA SAN PEDRO   ;627
17;CAPILLA SAN PEDRO   ;248
18;DISENO Y PUBLICIDAD ;10028
19;CONSTRUCCION        ;982
20;SEGURIDAD           ;1019
21;CAPILLA SAN NICOLAS ;605
22;CAPILLA SAN PEDRO   ;357
23;CAPILLA SAGRADA FAMI;344
24;CAPILLA SAN PEDRO   ;1030
25;VENTAS              ;1001
26;CONSTRUCCION        ;1042
27;CAPILLA CENTRO      ;1048
28;CONTABILIDAD        ;284
29;COBRANZA            ;934
30;MANTENIMIENTO       ;882
31;CONTROL VEHICULAR   ;961
32;ADMINISTRACION      ;664
33;COBRANZA            ;307
34;CONTABILIDAD        ;353
35;CAPILLA SAN PEDRO   ;687
36;CONSTRUCCION        ;988
37;CAPILLA CENTRO      ;492
38;SISTEMAS            ;253
39;ADMINISTRACION      ;320
40;LABORATORIO EMBALSAM;327
41;SISTEMAS            ;352
42;SISTEMAS            ;199
43;CAPILLA SAN PEDRO   ;861
44;DISENO Y PUBLICIDAD ;295
45;CAPILLA LOS ARCANGEL;314
46;RH NOMINAS          ;321
47;VENTAS              ;289
48;TELEMARKETING       ;1013
49;CAPILLA SAN PEDRO   ;832
50;CAPILLA SAN PEDRO   ;278
51;LABORATORIO EMBALSAM;175
52;COMPRAS             ;969
53;CAPILLA SAN PEDRO   ;1058
54;VENTAS              ;1016
55;CONSTRUCCION        ;992
56;TELEMARKETING       ;290
57;MANTENIMIENTO       ;1060
58;SEGURIDAD           ;946
59;VENTAS              ;1049
60;CAPILLA SAN NICOLAS ;713
61;CAPILLA SAN PEDRO   ;662
62;MANTENIMIENTO       ;699
63;SEGURIDAD           ;1035
64;SEGURIDAD           ;821
65;CAPILLA SAN PEDRO   ;208
66;TELEMARKETING       ;1024
67;MANTENIMIENTO       ;873
68;CAPILLA SAN NICOLAS ;650
69;CAPILLA SAN PEDRO   ;590
70;SEGURIDAD           ;1037
71;CAPILLA SAN PEDRO   ;351
72;LABORATORIO EMBALSAM;192
73;TELEMARKETING       ;1022
74;COBRANZA            ;200
